Hospital_ID,Date,City,Department,Ward,ICU_Beds,General_Beds,Emergency_Beds,Occupied_Beds,Available_Beds,Admissions,Discharges,Doctors,Nurses,Staff_On_Duty,Average_Length_of_Stay,Emergency_Cases,Covid_Cases,Weather,Holiday,Season,Bed_Occupancy_Rate
HOSP-001,2024-01-01,Karachi,Emergency,Emergency Ward,27.0,76.0,21.0,93.0,31.0,19.182626698157875,17.0,7.0,27.0,54.0,4.81,21.0,2.0,Foggy,Yes,Winter,75.0
HOSP-001,2024-01-02,Karachi,Emergency,Emergency Ward,34.0,40.0,38.0,80.0,32.0,19.0,21.0,8.0,30.0,53.0,6.65,36.0,5.0,Clear,No,Winter,71.43
HOSP-001,2024-01-03,Karachi,Emergency,Emergency Ward,26.0,51.0,51.0,105.0,23.0,20.0,12.0,8.0,30.0,56.0,3.56,38.0,0.0,Hot,No,Winter,82.03
HOSP-001,2024-01-04,Karachi,Emergency,Emergency Ward,25.0,75.0,32.0,108.0,24.0,27.0,26.0,8.469865639261345,28.0,51.0,3.78,36.0,1.0,Rainy,No,Winter,81.82
HOSP-001,2024-01-05,Karachi,Emergency,Emergency Ward,16.0,42.0,27.0,65.0,20.0,27.0,22.0,5.477550622347611,22.0,37.0,2.89,37.0,4.0,Foggy,No,Winter,76.47
HOSP-001,2024-01-06,Karachi,Emergency,Emergency Ward,18.0,74.0,20.0,80.0,32.0,24.0,17.0,9.0,31.0,49.0,4.83,30.0,4.0,Clear,No,Winter,71.43
HOSP-001,2024-01-07,Karachi,Emergency,Emergency Ward,39.0,59.0,52.0,107.0,43.0,25.0,10.0,11.0,41.0,66.0,4.74,34.0,1.0,Clear,No,Winter,71.33
HOSP-001,2024-01-08,Karachi,Emergency,Emergency Ward,19.0,57.0,27.0,90.0,13.0,13.0,9.0,6.853370163366326,27.0,48.0,4.56,27.0,2.0,Rainy,No,Winter,87.38
HOSP-001,2024-01-09,Karachi,Emergency,Emergency Ward,28.0,76.0,18.0,91.0,31.0,24.0,23.0,8.0,30.0,54.0,5.91,29.202563808579725,3.0,Clear,No,Winter,74.59
HOSP-001,2024-01-10,Karachi,Emergency,Emergency Ward,35.0,73.0,24.0,103.0,29.0,11.0,2.0,8.0,36.0,68.0,7.5,27.0,2.0,Rainy,No,Winter,78.03
HOSP-001,2024-01-11,Karachi,Emergency,Emergency Ward,20.0,63.0,38.0,105.0,16.0,31.0,29.0,9.0,27.0,44.0,3.76,25.0,2.0,Stormy,No,Winter,86.78
HOSP-001,2024-01-12,Karachi,Emergency,Emergency Ward,28.0,47.0,42.0,104.0,13.0,20.0,9.0,9.0,26.0,58.0,3.39,31.0,0.0,Foggy,No,Winter,88.89
HOSP-001,2024-01-13,Karachi,Emergency,Emergency Ward,41.0,50.0,25.0,89.0,27.0,18.0,7.0,6.0,23.0,49.0,4.47,29.0,2.0,Rainy,No,Winter,76.72
HOSP-001,2024-01-14,Karachi,Emergency,Emergency Ward,40.0,41.0,37.0,99.0,19.0,36.0,34.0,7.0,30.0,58.0,6.19,32.0,2.0,Stormy,No,Winter,83.9
HOSP-001,2024-01-15,Karachi,Emergency,Emergency Ward,35.0,44.0,31.0,80.0,30.0,24.60042903027881,28.0,8.0,24.0,37.0,4.24,23.0,3.0,Clear,No,Winter,72.73
HOSP-001,2024-01-16,Karachi,Emergency,Emergency Ward,31.0,72.0,39.0,112.0,30.0,20.0,15.0,9.0,31.0,63.0,4.13,28.0,2.0,Rainy,No,Winter,78.87
HOSP-001,2024-01-17,Karachi,Emergency,Emergency Ward,28.0,36.0,40.0,91.0,13.0,37.35863023515309,49.0,6.360941391693046,21.0,34.0,3.65,23.0,1.0,Stormy,No,Winter,87.5
HOSP-001,2024-01-18,Karachi,Emergency,Emergency Ward,30.0,67.0,22.0,90.0,29.0,12.0,7.0,8.0,28.0,50.0,2.36,25.0,1.0,Clear,No,Winter,75.63
HOSP-001,2024-01-19,Karachi,Emergency,Emergency Ward,29.0,47.0,27.0,80.0,23.0,15.0,11.0,6.467746997806852,21.0,37.0,4.03,43.0,0.0,Foggy,No,Winter,77.67
HOSP-001,2024-01-20,Karachi,Emergency,Emergency Ward,22.0,63.0,24.0,85.0,24.0,19.0,15.0,8.0,30.0,53.0,5.41,29.0,0.0,Stormy,No,Winter,77.98
HOSP-001,2024-01-21,Karachi,Emergency,Emergency Ward,37.0,50.0,54.0,106.0,35.0,22.0,34.0,9.0,34.0,57.0,3.07,25.0,0.0,Foggy,No,Winter,75.18
HOSP-001,2024-01-22,Karachi,Emergency,Emergency Ward,29.0,40.0,19.0,76.0,12.0,14.0,13.0,5.0,21.0,36.0,4.49,18.0,7.0,Rainy,No,Winter,86.36
HOSP-001,2024-01-23,Karachi,Emergency,Emergency Ward,17.0,42.0,34.0,75.0,18.0,21.0,18.0,6.0,23.0,45.0,4.94,42.0,1.0,Clear,No,Winter,80.65
HOSP-001,2024-01-24,Karachi,Emergency,Emergency Ward,28.0,72.0,30.0,110.0,20.0,36.0,24.0,8.0,26.0,50.0,5.58,42.0,4.0,Clear,No,Winter,84.62
HOSP-001,2024-01-25,Karachi,Emergency,Emergency Ward,32.0,70.0,39.0,102.0,39.0,13.0,7.0,9.0,37.0,68.0,4.97,29.0,6.0,Clear,No,Winter,72.34
HOSP-001,2024-01-26,Karachi,Emergency,Emergency Ward,18.0,67.0,37.0,102.0,20.0,12.0,21.0,7.0,29.0,48.0,5.19,33.0,3.0,Foggy,No,Winter,83.61
HOSP-001,2024-01-27,Karachi,Emergency,Emergency Ward,35.0,78.0,48.0,124.0,37.0,28.0,32.0,11.0,39.0,76.0,3.48,24.0,1.0,Foggy,No,Winter,77.02
HOSP-001,2024-01-28,Karachi,Emergency,Emergency Ward,35.0,52.0,46.0,112.0,21.0,43.0,37.0,10.0,30.0,54.0,4.41,30.0,3.0,Stormy,No,Winter,84.21
HOSP-001,2024-01-29,Karachi,Emergency,Emergency Ward,34.0,74.0,33.0,108.0,33.0,4.0,4.0,10.0,29.0,59.0,4.45,24.0,3.0,Foggy,No,Winter,76.6
HOSP-001,2024-01-30,Karachi,Emergency,Emergency Ward,23.0,67.0,51.0,117.0,24.0,30.0,24.0,9.0,40.0,66.0,5.21,25.0,1.0,Clear,No,Winter,82.98
HOSP-001,2024-01-31,Karachi,Emergency,Emergency Ward,41.0,73.0,53.0,125.0,42.0,19.0,26.0,10.0,34.0,62.0,2.67,25.0,5.0,Rainy,No,Winter,74.85
HOSP-001,2024-02-01,Karachi,Emergency,Emergency Ward,22.0,36.0,28.0,73.0,13.0,15.0,16.0,5.0,18.0,37.0,3.63,42.0,1.0,Clear,No,Winter,84.88
HOSP-001,2024-02-02,Karachi,Emergency,Emergency Ward,25.0,81.0,39.0,120.0,25.0,36.0,30.0,9.0,31.0,56.0,5.52,28.0,1.0,Clear,No,Winter,82.76
HOSP-001,2024-02-03,Karachi,Emergency,Emergency Ward,27.0,57.0,36.0,90.0,30.0,26.0,24.0,7.90297810848502,28.0,52.0,4.27,43.0,0.0,Clear,No,Winter,75.0
HOSP-001,2024-02-04,Karachi,Emergency,Emergency Ward,19.0,54.0,49.0,83.0,39.0,16.0,28.0,9.0,27.0,52.0,3.85,22.0,0.0,Foggy,No,Winter,68.03
HOSP-001,2024-02-05,Lahore,Emergency,Emergency Ward,21.0,63.0,42.0,112.0,14.0,26.0,33.0,8.114738096788294,25.0,47.0,4.11,28.0,3.0,Rainy,No,Winter,88.89
HOSP-001,2024-02-06,Karachi,Emergency,Emergency Ward,22.0,50.0,37.0,97.0,12.0,23.0,24.0,8.0,27.0,41.0,3.93,38.0,0.0,Rainy,No,Winter,88.99
HOSP-001,2024-02-07,Karachi,Emergency,Emergency Ward,37.0,69.0,49.0,143.0,12.0,7.0,2.0,9.854866036180933,32.0,58.0,4.81,36.0,1.0,Rainy,No,Winter,92.26
HOSP-001,2024-02-08,Karachi,Emergency,Emergency Ward,35.0,54.0,52.0,121.0,20.0,22.0,26.0,8.0,32.0,54.0,5.77,28.56786225851147,1.0,Rainy,No,Winter,85.82
HOSP-001,2024-02-09,Karachi,Emergency,Emergency Ward,32.0,59.0,34.0,100.0,25.0,19.0,14.0,9.0,32.0,59.0,3.7,40.0,3.0,Clear,No,Winter,80.0
HOSP-001,2024-02-10,Karachi,Emergency,Emergency Ward,34.0,58.0,18.0,79.0,31.0,10.0,14.0,7.0,22.0,44.0,4.62,24.0,4.0,Rainy,No,Winter,71.82
HOSP-001,2024-02-11,Karachi,Emergency,Emergency Ward,18.0,53.0,36.0,83.0,24.0,12.0,10.0,6.0,23.0,39.0,5.29,25.0,3.0,Rainy,No,Winter,77.57
HOSP-001,2024-02-12,Karachi,Emergency,Emergency Ward,22.0,36.0,40.0,83.0,15.0,23.0,14.0,6.0,19.0,42.0,5.67,31.0,1.0,Clear,No,Winter,84.69
HOSP-001,2024-02-13,Karachi,Emergency,Emergency Ward,40.0,66.0,51.0,120.0,37.0,39.0,27.0,10.0,34.0,70.0,2.95,22.0,2.0,Rainy,No,Winter,76.43
HOSP-001,2024-02-14,Karachi,Emergency,Emergency Ward,37.0,70.0,53.0,135.0,25.0,20.01879740040328,15.0,9.0,37.0,58.0,4.86,18.0,0.0,Foggy,No,Winter,84.38
HOSP-001,2024-02-15,Karachi,Emergency,Emergency Ward,35.0,66.0,21.0,103.0,19.0,8.0,11.0,9.0,26.0,44.0,4.79,25.0,2.0,Rainy,No,Winter,84.43
HOSP-001,2024-02-16,Karachi,Emergency,Emergency Ward,35.0,70.0,32.0,126.0,11.0,28.0,21.0,10.0,33.0,58.0,5.79,26.0,2.0,Stormy,No,Winter,91.97
HOSP-001,2024-02-17,Karachi,Emergency,Emergency Ward,36.0,55.0,49.0,116.0,24.0,28.0,24.0,10.0,38.0,67.0,2.65,47.0,2.0,Clear,No,Winter,82.86
HOSP-001,2024-02-18,Karachi,Emergency,Emergency Ward,29.0,82.0,41.0,120.0,32.0,22.0,32.0,11.0,37.0,62.0,4.94,29.0,4.0,Rainy,No,Winter,78.95
HOSP-001,2024-02-19,Karachi,Emergency,Emergency Ward,23.0,49.0,34.0,89.0,17.0,16.06780202049389,8.0,6.7558678256698315,21.0,39.0,1.47,38.0,4.0,Clear,No,Winter,83.96
HOSP-001,2024-02-20,Karachi,Emergency,Emergency Ward,32.0,66.0,18.0,95.0,21.0,28.0,28.0,7.716599930414011,27.0,51.0,5.67,30.39389027582077,2.0,Rainy,No,Winter,81.9
HOSP-001,2024-02-21,Karachi,Emergency,Emergency Ward,23.0,47.0,48.0,101.0,17.0,34.0,27.0,7.0,27.0,47.0,5.34,27.0,1.0,Rainy,No,Winter,85.59
HOSP-001,2024-02-22,Karachi,Emergency,Emergency Ward,35.0,40.0,28.0,84.0,19.0,17.0,8.0,7.0,29.0,44.0,3.29,24.0,2.0,Stormy,No,Winter,81.55
HOSP-001,2024-02-23,Karachi,Emergency,Emergency Ward,17.0,58.0,32.0,97.0,10.0,14.0,12.0,7.0,25.0,39.0,5.05,30.0,0.0,Foggy,No,Winter,90.65
HOSP-001,2024-02-24,Karachi,Emergency,Emergency Ward,28.0,75.0,37.0,121.0,19.0,23.0,26.0,11.0,33.0,63.0,4.36,14.0,2.0,Rainy,No,Winter,86.43
HOSP-001,2024-02-25,Karachi,Emergency,Emergency Ward,22.0,50.0,23.0,74.0,21.0,7.0,1.0,7.0,21.0,35.0,2.25,31.0,1.0,Clear,No,Winter,77.89
HOSP-001,2024-02-26,Karachi,Emergency,Emergency Ward,23.0,76.0,37.0,118.0,18.0,41.0,49.0,9.116921144654786,28.0,57.0,5.0,27.0,3.0,Clear,No,Winter,86.76
HOSP-001,2024-02-27,Karachi,Emergency,Emergency Ward,32.0,49.0,26.0,98.0,9.0,27.0,12.0,8.0,28.0,44.0,6.15,35.0,0.0,Rainy,No,Winter,91.59
HOSP-001,2024-02-28,Karachi,Emergency,Emergency Ward,37.0,50.0,22.0,104.0,5.0,27.0,24.0,6.0,31.0,50.0,6.27,30.0,1.0,Rainy,No,Winter,95.41
HOSP-001,2024-02-29,Karachi,Emergency,Emergency Ward,39.0,54.0,22.0,104.0,11.0,18.0,7.0,8.0,25.0,40.0,4.16,30.0,2.0,Rainy,No,Winter,90.43
HOSP-001,2024-03-01,Karachi,Emergency,Emergency Ward,20.0,46.0,49.0,103.0,12.0,30.0,26.0,6.0,27.0,48.0,4.07,24.0,3.0,Rainy,No,Spring,89.57
HOSP-001,2024-03-02,Karachi,Emergency,Emergency Ward,38.0,52.0,37.0,106.0,21.0,14.0,9.0,9.0,26.0,52.0,3.02,26.0,3.0,Stormy,No,Spring,83.46
HOSP-001,2024-03-03,Karachi,Emergency,Emergency Ward,38.0,70.0,41.0,121.0,28.0,23.0,15.0,9.0,41.0,74.0,6.32,29.0,4.0,Foggy,No,Spring,81.21
HOSP-001,2024-03-04,Karachi,Emergency,Emergency Ward,38.0,45.0,54.0,117.0,20.0,46.19333467725011,56.0,8.765306565054171,30.0,54.0,3.76,42.0,2.0,Clear,No,Spring,85.4
HOSP-001,2024-03-05,Karachi,Emergency,Emergency Ward,24.0,53.0,31.0,92.0,16.0,11.0,9.0,6.0,27.0,49.0,2.82,32.0,3.0,Clear,No,Spring,85.19
HOSP-001,2024-03-06,Karachi,Emergency,Emergency Ward,26.0,38.0,35.0,89.0,10.0,22.0,18.0,6.0,20.0,39.0,5.34,32.0,4.0,Rainy,No,Spring,89.9
HOSP-001,2024-03-07,Karachi,Emergency,Emergency Ward,25.0,81.0,39.0,130.0,15.0,16.0,8.0,9.403280064747415,38.0,65.0,3.96,38.0,1.0,Hot,No,Spring,89.66
HOSP-001,2024-03-08,Karachi,Emergency,Emergency Ward,17.0,53.0,39.0,98.0,11.0,19.0,31.0,6.0,30.0,49.0,3.13,34.0,4.0,Stormy,No,Spring,89.91
