Hospital_ID,Date,City,Department,Ward,ICU_Beds,General_Beds,Emergency_Beds,Occupied_Beds,Available_Beds,Admissions,Discharges,Doctors,Nurses,Staff_On_Duty,Average_Length_of_Stay,Emergency_Cases,Covid_Cases,Weather,Holiday,Season,Bed_Occupancy_Rate
HOSP-001,2024-01-01,Karachi,Emergency,Emergency Ward,27,76,21,93,31,12,17,7,27,54,4.81,21,2,Foggy,Yes,Winter,75.0
HOSP-001,2024-01-02,Karachi,Emergency,Emergency Ward,34,40,38,80,32,19,21,8,30,53,6.65,36,5,Clear,No,Winter,71.43
HOSP-001,2024-01-03,Karachi,Emergency,Emergency Ward,26,51,51,105,23,20,12,8,30,56,3.56,38,0,Hot,No,Winter,82.03
HOSP-001,2024-01-04,Karachi,Emergency,Emergency Ward,25,75,32,108,24,27,26,8,28,51,3.78,36,1,Rainy,No,Winter,81.82
HOSP-001,2024-01-05,Karachi,Emergency,Emergency Ward,16,42,27,65,20,27,22,6,22,37,2.89,37,4,Foggy,No,Winter,76.47
HOSP-001,2024-01-06,Karachi,Emergency,Emergency Ward,18,74,20,80,32,24,17,9,31,49,4.83,30,4,Clear,No,Winter,71.43
HOSP-001,2024-01-07,Karachi,Emergency,Emergency Ward,39,59,52,107,43,25,10,11,41,66,4.74,34,1,Clear,No,Winter,71.33
HOSP-001,2024-01-08,Karachi,Emergency,Emergency Ward,19,57,27,90,13,13,9,7,27,48,4.56,27,2,Rainy,No,Winter,87.38
HOSP-001,2024-01-09,Karachi,Emergency,Emergency Ward,28,76,18,91,31,24,23,8,30,54,5.91,31,3,Clear,No,Winter,74.59
HOSP-001,2024-01-10,Karachi,Emergency,Emergency Ward,35,73,24,103,29,11,2,8,36,68,7.5,27,2,Rainy,No,Winter,78.03
HOSP-001,2024-01-11,Karachi,Emergency,Emergency Ward,20,63,38,105,16,31,29,9,27,44,3.76,25,2,Stormy,No,Winter,86.78
HOSP-001,2024-01-12,Karachi,Emergency,Emergency Ward,28,47,42,104,13,20,9,9,26,58,3.39,31,0,Foggy,No,Winter,88.89
HOSP-001,2024-01-13,Karachi,Emergency,Emergency Ward,41,50,25,89,27,18,7,6,23,49,4.47,29,2,Rainy,No,Winter,76.72
HOSP-001,2024-01-14,Karachi,Emergency,Emergency Ward,40,41,37,99,19,36,34,7,30,58,6.19,32,2,Stormy,No,Winter,83.9
HOSP-001,2024-01-15,Karachi,Emergency,Emergency Ward,35,44,31,80,30,21,28,8,24,37,4.24,23,3,Clear,No,Winter,72.73
HOSP-001,2024-01-16,Karachi,Emergency,Emergency Ward,31,72,39,112,30,20,15,9,31,63,4.13,28,2,Rainy,No,Winter,78.87
HOSP-001,2024-01-17,Karachi,Emergency,Emergency Ward,28,36,40,91,13,40,49,6,21,34,3.65,23,1,Stormy,No,Winter,87.5
HOSP-001,2024-01-18,Karachi,Emergency,Emergency Ward,30,67,22,90,29,12,7,8,28,50,2.36,25,1,Clear,No,Winter,75.63
HOSP-001,2024-01-19,Karachi,Emergency,Emergency Ward,29,47,27,80,23,15,11,8,21,37,4.03,43,0,Foggy,No,Winter,77.67
HOSP-001,2024-01-20,Karachi,Emergency,Emergency Ward,22,63,24,85,24,19,15,8,30,53,5.41,29,0,Stormy,No,Winter,77.98
HOSP-001,2024-01-21,Karachi,Emergency,Emergency Ward,37,50,54,106,35,22,34,9,34,57,3.07,25,0,Foggy,No,Winter,75.18
HOSP-001,2024-01-22,Karachi,Emergency,Emergency Ward,29,40,19,76,12,14,13,5,21,36,4.49,18,7,Rainy,No,Winter,86.36
HOSP-001,2024-01-23,Karachi,Emergency,Emergency Ward,17,42,34,75,18,21,18,6,23,45,4.94,42,1,Clear,No,Winter,80.65
HOSP-001,2024-01-24,Karachi,Emergency,Emergency Ward,28,72,30,110,20,36,24,8,26,50,5.58,42,4,Foggy,No,Winter,84.62
HOSP-001,2024-01-25,Karachi,Emergency,Emergency Ward,32,70,39,102,39,13,7,9,37,68,4.97,29,6,Clear,No,Winter,72.34
HOSP-001,2024-01-26,Karachi,Emergency,Emergency Ward,18,67,37,102,20,12,21,7,29,48,5.19,33,3,Foggy,No,Winter,83.61
HOSP-001,2024-01-27,Karachi,Emergency,Emergency Ward,35,78,48,124,37,28,32,11,39,76,3.48,24,1,Foggy,No,Winter,77.02
HOSP-001,2024-01-28,Karachi,Emergency,Emergency Ward,35,52,46,112,21,43,37,10,30,54,4.41,30,3,Stormy,No,Winter,84.21
HOSP-001,2024-01-29,Karachi,Emergency,Emergency Ward,34,74,33,108,33,4,4,10,29,59,4.45,24,3,Foggy,No,Winter,76.6
HOSP-001,2024-01-30,Karachi,Emergency,Emergency Ward,23,67,51,117,24,30,24,9,40,66,5.21,25,1,Clear,No,Winter,82.98
HOSP-001,2024-01-31,Karachi,Emergency,Emergency Ward,41,73,53,125,42,19,26,10,34,62,2.67,25,5,Rainy,No,Winter,74.85
HOSP-001,2024-02-01,Karachi,Emergency,Emergency Ward,22,36,28,73,13,15,16,5,18,37,3.63,42,1,Clear,No,Winter,84.88
HOSP-001,2024-02-02,Karachi,Emergency,Emergency Ward,25,81,39,120,25,36,30,9,31,56,5.52,28,1,Clear,No,Winter,82.76
HOSP-001,2024-02-03,Karachi,Emergency,Emergency Ward,27,57,36,90,30,26,24,8,28,52,4.27,43,0,Clear,No,Winter,75.0
HOSP-001,2024-02-04,Karachi,Emergency,Emergency Ward,19,54,49,83,39,16,28,9,27,52,3.85,22,0,Foggy,No,Winter,68.03
HOSP-001,2024-02-05,Karachi,Emergency,Emergency Ward,21,63,42,112,14,26,33,7,25,47,4.11,28,3,Rainy,No,Winter,88.89
HOSP-001,2024-02-06,Karachi,Emergency,Emergency Ward,22,50,37,97,12,23,24,8,27,41,3.93,38,0,Rainy,No,Winter,88.99
HOSP-001,2024-02-07,Karachi,Emergency,Emergency Ward,37,69,49,143,12,7,2,9,32,58,4.81,36,1,Rainy,No,Winter,92.26
HOSP-001,2024-02-08,Karachi,Emergency,Emergency Ward,35,54,52,121,20,22,26,8,32,54,5.77,35,1,Rainy,No,Winter,85.82
HOSP-001,2024-02-09,Karachi,Emergency,Emergency Ward,32,59,34,100,25,19,14,9,32,59,3.7,40,3,Clear,No,Winter,80.0
HOSP-001,2024-02-10,Karachi,Emergency,Emergency Ward,34,58,18,79,31,10,14,7,22,44,4.62,24,4,Rainy,No,Winter,71.82
HOSP-001,2024-02-11,Karachi,Emergency,Emergency Ward,18,53,36,83,24,12,10,6,23,39,5.29,25,3,Rainy,No,Winter,77.57
HOSP-001,2024-02-12,Karachi,Emergency,Emergency Ward,22,36,40,83,15,23,14,6,19,42,5.67,31,1,Clear,No,Winter,84.69
HOSP-001,2024-02-13,Karachi,Emergency,Emergency Ward,40,66,51,120,37,39,27,10,34,70,2.95,22,2,Rainy,No,Winter,76.43
HOSP-001,2024-02-14,Karachi,Emergency,Emergency Ward,37,70,53,135,25,21,15,9,37,58,4.86,18,0,Foggy,No,Winter,84.38
HOSP-001,2024-02-15,Karachi,Emergency,Emergency Ward,35,66,21,103,19,8,11,9,26,44,4.79,25,2,Rainy,No,Winter,84.43
HOSP-001,2024-02-16,Karachi,Emergency,Emergency Ward,35,70,32,126,11,28,21,10,33,58,5.79,26,2,Stormy,No,Winter,91.97
HOSP-001,2024-02-17,Karachi,Emergency,Emergency Ward,36,55,49,116,24,28,24,10,38,67,2.65,47,2,Clear,No,Winter,82.86
HOSP-001,2024-02-18,Karachi,Emergency,Emergency Ward,29,82,41,120,32,22,32,11,37,62,4.94,29,4,Rainy,No,Winter,78.95
HOSP-001,2024-02-19,Karachi,Emergency,Emergency Ward,23,49,34,89,17,23,8,7,21,39,1.47,38,4,Clear,No,Winter,83.96
HOSP-001,2024-02-20,Karachi,Emergency,Emergency Ward,32,66,18,95,21,28,28,7,27,51,5.67,36,2,Rainy,No,Winter,81.9
HOSP-001,2024-02-21,Karachi,Emergency,Emergency Ward,23,47,48,101,17,34,27,7,27,47,5.34,27,1,Rainy,No,Winter,85.59
HOSP-001,2024-02-22,Karachi,Emergency,Emergency Ward,35,40,28,84,19,17,8,7,29,44,3.29,24,2,Stormy,No,Winter,81.55
