Hospital_ID,Date,City,Department,Ward,ICU_Beds,General_Beds,Emergency_Beds,Occupied_Beds,Available_Beds,Admissions,Discharges,Doctors,Nurses,Staff_On_Duty,Average_Length_of_Stay,Emergency_Cases,Covid_Cases,Weather,Holiday,Season,Bed_Occupancy_Rate
HOSP-001,2024-01-01,Karachi,Emergency,Emergency Ward,27,76,21,93,31,,17,7.0,27.0,54.0,4.81,21.0,2.0,Foggy,Yes,Winter,75.0
HOSP-001,2024-01-02,Karachi,Emergency,Emergency Ward,34,40,38,80,32,19.0,21,8.0,30.0,53.0,6.65,36.0,5.0,Clear,No,Winter,71.43
HOSP-001,2024-01-03,Karachi,Emergency,Emergency Ward,26,51,51,105,23,20.0,12,8.0,30.0,56.0,3.56,38.0,0.0,Hot,No,Winter,82.03
HOSP-001,2024-01-04,Karachi,Emergency,Emergency Ward,25,75,32,108,24,27.0,26,,28.0,51.0,3.78,36.0,1.0,Rainy,No,Winter,81.82
HOSP-001,2024-01-05,Karachi,Emergency,Emergency Ward,16,42,27,65,20,27.0,22,,22.0,37.0,2.89,37.0,4.0,Foggy,No,Winter,76.47
HOSP-001,2024-01-06,Karachi,Emergency,Emergency Ward,18,74,20,80,32,24.0,17,9.0,31.0,49.0,4.83,30.0,4.0,Clear,No,Winter,71.43
HOSP-001,2024-01-07,Karachi,Emergency,Emergency Ward,39,59,52,107,43,25.0,10,11.0,41.0,66.0,4.74,34.0,1.0,Clear,No,Winter,71.33
HOSP-001,2024-01-08,Karachi,Emergency,Emergency Ward,19,57,27,90,13,13.0,9,,27.0,48.0,4.56,27.0,2.0,Rainy,No,Winter,87.38
HOSP-001,2024-01-09,Karachi,Emergency,Emergency Ward,28,76,18,91,31,24.0,23,8.0,30.0,54.0,5.91,,3.0,Clear,No,Winter,74.59
HOSP-001,2024-01-10,Karachi,Emergency,Emergency Ward,35,73,24,103,29,11.0,2,8.0,36.0,68.0,7.5,27.0,2.0,Rainy,No,Winter,78.03
HOSP-001,2024-01-11,Karachi,Emergency,Emergency Ward,20,63,38,105,16,31.0,29,9.0,27.0,44.0,3.76,25.0,2.0,Stormy,No,Winter,86.78
HOSP-001,2024-01-12,Karachi,Emergency,Emergency Ward,28,47,42,104,13,20.0,9,9.0,26.0,58.0,3.39,31.0,0.0,Foggy,No,Winter,88.89
HOSP-001,2024-01-13,Karachi,Emergency,Emergency Ward,41,50,25,89,27,18.0,7,6.0,23.0,49.0,4.47,29.0,2.0,Rainy,No,Winter,76.72
HOSP-001,2024-01-14,Karachi,Emergency,Emergency Ward,40,41,37,99,19,36.0,34,7.0,30.0,58.0,6.19,32.0,2.0,Stormy,No,Winter,83.9
HOSP-001,2024-01-15,Karachi,Emergency,Emergency Ward,35,44,31,80,30,,28,8.0,24.0,37.0,4.24,23.0,3.0,Clear,No,Winter,72.73
