,Missing Rate
Admissions,0.07005243958048335
Nurses,0.06543547651618788
Average_Length_of_Stay,0.059963520291837664
Emergency_Cases,0.05004559963520292
Staff_On_Duty,0.04594163246694027
Covid_Cases,0.042008663930688556
Weather,0.04001367989056088
Doctors,0.03750569995440037
City,0.02610579115367077
ICU_Beds,0.0
Hospital_ID,0.0
Ward,0.0
Department,0.0
Date,0.0
Discharges,0.0
Emergency_Beds,0.0
Occupied_Beds,0.0
Available_Beds,0.0
General_Beds,0.0
Holiday,0.0
Season,0.0
Bed_Occupancy_Rate,0.0
