method,rmse,mae,distribution_drift,bias,absolute_bias,variance,mean_execution_time_seconds,downstream_model_accuracy
Iterative Imputer (MICE),5.857064697627575,3.750214703104729,1.99319127257253,-0.10995302099368463,0.38738707071355205,216.432097925459,0.34527890000026673,0.6475000000000001
Regression Imputation,6.674916120088091,5.136099030600319,2.4997059467867473,-0.1731133247986905,0.4887266093288588,206.33624862557932,0.1274530999999115,0.6475000000000001
Random Forest Imputation,6.810778134092905,5.405962477398663,2.744712151008203,-0.2354300674410972,0.5429620230469276,182.21192158017146,2.318361399999958,0.655
KNN Imputer,8.113982533551624,6.339730243667232,3.09035413904737,-0.5428154349743918,0.7970297865844826,158.3062086286347,0.1880737000001318,0.6500000000000001
Linear Interpolation,11.847720063804267,9.445194310897437,1.958691907051282,0.38886017628205133,0.7241967147435897,212.55977292579584,0.09353459999965708,0.6525
Mean,12.982743176850521,10.57072008964343,10.57072008964343,-0.2793212776806525,1.1352693400349643,1.0127760390875913e-28,0.026665200000024925,0.655
Median,13.134272634028234,10.46166266025641,10.461662660256412,-1.776798878205128,2.1237540064102562,0.0,0.021116300000358024,0.66
Forward Fill,13.54610772854326,10.69854967948718,1.6350160256410258,-0.025873397435897397,0.8451201923076923,251.38545538590915,0.03154319999975996,0.6624999999999999
Backward Fill,13.908636871699116,11.010240384615384,1.5415384615384615,0.7024759615384616,0.9685016025641026,294.87139101374703,0.029860699999517237,0.6500000000000001
Polynomial Interpolation,14.297397889015873,11.25296658006157,1.9256240553577757,0.6653091625928732,0.9037094424128143,298.52366935915387,0.261814499999673,0.6525
Mode,14.93902009794245,11.704563301282052,11.704563301282052,-3.1298758012820516,6.270901442307693,6.068160809392399e-32,0.024353800000426418,0.66
Spline Interpolation,28.451716602435265,16.12961952756157,6.3791665506594,0.9527761881282653,1.6949126341643383,1189.6561293206107,0.23900270000012824,0.6425
